bp_rp,M_G_ridge,mass_nn,mass_nn_err,mass_data_median,mass_data_std,n_stars
0.6000000000000001,3.6500000000000017,1.0822970867156982,0.08476921916007996,1.1268446445465088,0.043335385620594025,2334
0.7,3.950000000000002,1.0778758525848389,0.0826764851808548,1.088088035583496,0.05134439095854759,4666
0.8,4.650000000000002,0.9399383068084717,0.07645771652460098,0.9497181177139282,0.06305507570505142,6536
0.8999999999999999,5.150000000000003,0.8745306730270386,0.06714434176683426,0.8765662908554077,0.06435469537973404,6515
0.9999999999999999,5.550000000000003,0.8337289094924927,0.06555327773094177,0.826445460319519,0.0710839033126831,5960
1.0999999999999999,5.950000000000004,0.7557754516601562,0.05915266275405884,0.7616879343986511,0.07374072074890137,5654
1.2,6.2500000000000036,0.7283117771148682,0.05767045542597771,0.7223316431045532,0.07276087999343872,4828
1.2999999999999998,6.550000000000004,0.6942631602287292,0.05298131704330444,0.6924735307693481,0.07323670387268066,4593
1.4,6.850000000000004,0.6594611406326294,0.049741633236408234,0.6620722413063049,0.07050196081399918,4331
1.4999999999999998,7.050000000000004,0.6752058863639832,0.056411467492580414,0.6545517444610596,0.0855599045753479,4257
1.5999999999999996,7.350000000000005,0.6332523822784424,0.04691092297434807,0.6324285268783569,0.08378080278635025,4601
1.6999999999999997,7.550000000000005,0.6476869583129883,0.05229617655277252,0.6307616233825684,0.10147782415151596,4929
1.7999999999999998,7.850000000000005,0.6077101826667786,0.04207652062177658,0.6017521619796753,0.09170840680599213,5616
1.9,8.150000000000006,0.5706515312194824,0.03704921156167984,0.5736978054046631,0.07905232161283493,6309
1.9999999999999998,8.350000000000005,0.5895013809204102,0.04312598705291748,0.5760494470596313,0.09804773330688477,7207
2.0999999999999996,8.650000000000006,0.5584070682525635,0.03677716478705406,0.5505804419517517,0.08230509608983994,8100
2.1999999999999997,9.050000000000008,0.5040829181671143,0.027352778241038322,0.5112639665603638,0.04249318316578865,9336
2.3,9.250000000000007,0.5133470296859741,0.030052144080400467,0.5144652128219604,0.06060909479856491,10896
2.3999999999999995,9.650000000000006,0.48143863677978516,0.026187585666775703,0.4828532040119171,0.03267659619450569,12653
2.4999999999999996,9.950000000000006,0.46740293502807617,0.025320814922451973,0.4687105417251587,0.029142366722226143,13938
2.5999999999999996,10.150000000000006,0.47441980242729187,0.028169704601168633,0.4715648889541626,0.04113275185227394,14191
2.6999999999999993,10.450000000000006,0.4582142233848572,0.031146293506026268,0.453715056180954,0.04175620153546333,13048
2.7999999999999994,11.050000000000008,0.3937344551086426,0.038774989545345306,0.4006139636039734,0.013113037683069706,10682
2.8999999999999995,11.250000000000007,0.36894863843917847,0.04490308836102486,0.37673670053482056,0.021011877804994583,8151
2.9999999999999996,11.550000000000008,0.34416377544403076,0.050899654626846313,0.343444287776947,0.022265391424298286,5370
3.0999999999999996,11.65000000000001,0.3417382538318634,0.058236923068761826,0.33518093824386597,0.044009022414684296,3423
3.1999999999999993,12.15000000000001,0.2633017897605896,0.060228750109672546,0.2689763307571411,0.02084268443286419,1963
3.2999999999999994,12.350000000000009,0.24615353345870972,0.06403423845767975,0.24132239818572998,0.02906329184770584,1168
3.3999999999999995,12.75000000000001,0.19528067111968994,0.061965905129909515,0.19919957220554352,0.01983059011399746,703
3.499999999999999,12.95000000000001,0.1768154501914978,0.061804793775081635,0.18281224370002747,0.023035835474729538,421
3.599999999999999,13.15000000000001,0.17052412033081055,0.06005045026540756,0.16357454657554626,0.027130821719765663,214
